有消费的学号,金额,,原始学号数据
12101060321,422.98,,"'12101060321',"
12101060322,506.7,,"'12101060322',"
12103010218,357.86,,"'12103010218',"
12103010317,835.39,,"'12103010317',"
12103010417,781.36,,"'12103010417',"
12103040127,1091.3,,"'12103040127',"
12103040128,636.9,,"'12103040128',"
12103040227,892.6,,"'12103040227',"
12103100206,872.1,,"'12103100206',"
12802020201,463.4,,"'12802020201',"
12802040103,635.3,,"'12802040103',"
12802040202,651.43,,"'12802040202',"
12804040203,453.7,,"'12804040203',"
12804050102,861.7,,"'12804050102',"
13101010121,579.1,,"'13101010121',"
13101010127,568.7,,"'13101010127',"
13101010130,446.92,,"'13101010130',"
13101010131,846.88,,"'13101010131',"
13101010133,649.86,,"'13101010133',"
13101010232,497.5,,"'13101010232',"
13101020130,307.1,,"'13101020130',"
13101020218,984.44,,"'13101020218',"
13101020225,413.9,,"'13101020225',"
13101020230,626.4,,"'13101020230',"
13101020315,365.45,,"'13101020315',"
13101020329,730.18,,"'13101020329',"
13101020330,561.6,,"'13101020330',"
13101020416,561,,"'13101020416',"
13101020417,450.3,,"'13101020417',"
13101030332,660.8,,"'13101030125',"
13101030425,535.4,,"'13101030332',"
13101040118,228.5,,"'13101030425',"
13101040123,342.3,,"'13101040118',"
13101040125,449,,"'13101040123',"
13101040127,504.94,,"'13101040125',"
13101040131,647.48,,"'13101040127',"
13101040132,661.6,,"'13101040131',"
13101040228,870.8,,"'13101040132',"
13101040230,374.1,,"'13101040228',"
13101040317,291.02,,"'13101040230',"
13101040321,473.56,,"'13101040317',"
13101040322,518.38,,"'13101040321',"
13101040325,628.11,,"'13101040322',"
13101040329,162.8,,"'13101040325',"
13101040411,700.88,,"'13101040329',"
13101040422,812.9,,"'13101040411',"
13101040423,364.8,,"'13101040421',"
13101040427,591.46,,"'13101040422',"
13101040429,536.6,,"'13101040423',"
13101050121,411.45,,"'13101040427',"
13101050132,767.69,,"'13101040429',"
13101050211,833.78,,"'13101050121',"
13101050219,470.45,,"'13101050132',"
13101050222,516.75,,"'13101050211',"
13101050233,659.9,,"'13101050219',"
13101060115,485.42,,"'13101050222',"
13101060126,488.31,,"'13101050233',"
13101060128,589.38,,"'13101060115',"
13101060129,516.28,,"'13101060126',"
13101060130,308.06,,"'13101060128',"
13101060218,391.27,,"'13101060129',"
13101060227,228.4,,"'13101060130',"
13101060228,629.5,,"'13101060218',"
13101060229,604.2,,"'13101060227',"
13101060324,787.6,,"'13101060228',"
13101060327,727.42,,"'13101060229',"
13101060420,719.6,,"'13101060324',"
13101060422,536.17,,"'13101060327',"
13101060423,520.6,,"'13101060420',"
13101060426,444.2,,"'13101060422',"
13101060427,194.4,,"'13101060423',"
13101060428,336.6,,"'13101060426',"
13101070126,729.1,,"'13101060427',"
13101070127,296.81,,"'13101060428',"
13101070128,149.01,,"'13101070126',"
13101070129,825.5,,"'13101070127',"
13101070220,450.9,,"'13101070128',"
